Shqiponja;Ahmetaj;(TU Wien);AT;
Yamine;Ait Ameur;(IRIT/INPT-ENSEEIHT);FR;
Kim;Bauters;(University of Bristol);UK;
Christoph;Beierle;(University of Hagen);DE;
Meghyn;Bienvenu;(CNRS, University of Bordeaux);FR;
Joachim;Biskup;(Technische Universität Dortmund);DE;
Elena;Botoeva;(University of Kent);UK;
Fabio;Cozman;(University of São Paulo);BR;
Dragan;Doder;(Utrecht University);NL;
Thomas;Eiter;(TU Wien);AT;
Christian;Fermüller;(TU Wien);AT;
Flavio;Ferrarotti;(Software Competence Centre Hagenberg);AT;
Laura;Giordano;(DISIT, Università del Piemonte Orientale);IT;
Marc;Gyssens;(Universiteit Hasselt);BE;
Miika;Hannula;(University of Helsinki);FI;
Andreas;Herzig;(CNRS, IRIT, Univ. Toulouse);FR;
Tomi;Janhunen;(Tampere University);FI;
Matti;Järvisalo;(University of Helsinki);FI;
Gabriele;Kern-Isberner;(Technische Universität Dortmund);DE;
Elena;Kleiman;(Braude College Karmiel);IL;
Sébastien;Konieczny;(CRIL - CNRS);FR;
Juha;Kontinen;(University of Helsinki);FI;
Sebastian;Link;(The University of Auckland);NZ;
Thomas;Lukasiewicz;(University of Oxford);UK;
Pierre;Marquis;(CRIL, U. Artois & CNRS);FR;
Thomas;Meyer;(CAIR, University of Cape Town);ZA;
Nicola;Olivetti;(LSIS, Aix-Marseille University);FR;
Iliana M.;Petrova;(INRIA);FR;
Ramon;Pino Perez;(Université d'Artois);FR;
Gian Luca;Pozzato;(Università di Torino);IT;
Elena;Ravve;(Braude College Karmiel);IL;
Sebastian;Rudolph;(TU Dresden);DE;
Attila;Sali;(Alfrd Rnyi Institute of Mathematics);HU;
Katsuhiko;Sano;(Hokkaido University);JP;
Klaus-Dieter;Schewe;(Zhejiang University);CN;
Kostyantyn;Shchekotykhin;(Alpen-Adria Universität Klagenfurt);AT;
Guillermo R.;Simari;(Universidad del Sur in Bahia Blanca);AR;
Mantas;Simkus;(Umeå University);SE;
Michael;Sioutis;(LIRMM UMR 5506, University of Montpellier, CNRS);FR;
Umberto;Straccia;(ISTI-CNR);IT;
Karim;Tabia;(Artois University);FR;
Alex;Thomo;(University of Victoria);CA;
David;Toman;(University of Waterloo);CA;
Dirk;Van Gucht;(Indiana University Bloomington);USA;
Qing;Wang;(Australian National University);AU;
Stefan;Woltran;(TU Wien);AT
